"Zacian","ザシアン","Zacian","Superstar","Legendary","Fairy","Steel","1","001","162","6","Rusted Sword","","","Behemoth Blade","Steel","","","","","152","175","120","85","120","153","Able to cut down anything with a single strike, it became known as the Fairy King's Sword, and it inspired awe in friend and foe alike.","あらゆるものを きりすてるさまから ようせいおうのつるぎ と よばれ てきみかたに おそれあがめられた。","","","",""
"Zamazenta","ザマゼンタ","Zamazenta","Superstar","Legendary","Fighting","Steel","1","002","162","6","Rusted Shield","","","Behemoth Bash","Steel","","","","","152","135","150","85","150","133","Its ability to deflect any attack led to it being known as the Fighting Master's Shield. It was feared and respected by all.","いかなる こうげきも はじきかえす すがたは かくとうおうのたて と よばれ おそれあがめられた。","","","",""
"Kyogre","カイオーガ","Kyogre","Superstar","Legendary","Water","","1","003","152","6","","","","Hydro Pump","Water","","","","","160","105","95","155","145","95","It is said to have expanded the sea by bringing heavy rains. It fought a fierce battle with Groudon.","おおあめを ふらせて うみを ひろげたと かたりつがれている。 グラードンと はげしく たたかいを くりひろげた。","","","",""
"Groudon","グラードン","Groudon","Superstar","Legendary","Ground","","1","004","152","6","","","","Earthquake","Ground","","","","","160","155","145","105","95","95","It is said to have expanded the lands by evaporating water. It fought a fierce battle with Kyogre.","みずを じょうはつさせて りくちを ひろげたと かたりつがれている。 カイオーガと はげしく たたかいを くりひろげた。","","","",""
"Rayquaza","レックウザ","Rayquaza","Superstar","Legendary","Dragon","Flying","1","005","154","6","","","","Draco Meteor","Dragon","","","","","165","155","95","155","95","100","It lives in the stratosphere. No one could confirm its appearance from the ground.","せいそうけんの なかに すんでいる。 ちじょうから その すがたを かくにんできる ものは いない。","","","",""
"Venusaur","フシギバナ","Fushigibana","Superstar","","Grass","Poison","1","006","122","6","","","","Leaf Storm","Grass","","","","","140","87","88","105","105","85","The large plant on its back can convert sunlight into energy.","せなかの おおきな はなで たいようの ひかりを エネルギーに かえることが できる。","","","",""
"Charizard","リザードン","Lizardon","Superstar","","Fire","Flying","1","007","124","6","","","","Flamethrower","Fire","","","","","138","89","83","114","90","105","The temperature of Charizard's fire increases as it gains experience in battle.","リザードンの ほのおは たたかいの けいけんを つむほど おんどが あがっていく。","","","",""
"Blastoise","カメックス","Kamex","Superstar","","Water","","1","008","124","6","","","","Hydro Pump","Water","","","","","139","88","105","90","110","83","The water fired from the rocket cannons on its shell can penetrate thick steel.","こうらの ロケットほうから ぶあつい てっぱんも つらぬく すいりゅうを ふきだす。","","","",""
"Alolan Ninetales","アローラキュウコン","Alolan Kyukon","Superstar","","Ice","Fairy","1","009","118","6","","","Icium","Blizzard","Ice","","","Subzero Slammer","Ice","133","72","80","86","105","114","In ancient times, it was revered as a deity incarnate. It creates drops of ice in its coat and showers them over its enemies.","むかしは かみの けしんと いわれていた。 たいもうから うみだした こおりの つぶを てきに あびせかける。 ","","","",""
"Pikachu","ピカチュウ","Pikachu","Superstar","","Electric","","1","010","102","6","","","Electrium","Thunderbolt","Electric","","","Gigavolt Havoc","Electric","118","75","56","69","69","120","It is said that electricity accumulates in the electric sacs on Pikachu's cheeks while it sleeps.","ほっぺたの でんきぶくろには ピカチュウが ねている あいだに でんきが たまると いわれている。","","","",""
"Rillaboom","ゴリランダー","Gorirander","Star","","Grass","","1","011","108","5","","","","Drum Beating","Grass","","","","","142","115","84","57","66","79","By drumming, it taps into the power of its special tree stump. The Rillaboom with the best drumming techniques becomes the boss of the troop.","とくべつな きりかぶの パワーを ドラミングで コントロール。 ドラムテクニックに すぐれた ゴリランダーが なかまたちの ボスになる。","","","",""
"Cinderace","エースバーン","Aceburn","Star","","Fire","","1","012","108","5","","","","Pyro Ball","Fire","","","","","124","107","71","62","71","109","It juggles a pebble with its feet, turning it into a burning soccer ball, and strikes opponents hard with its shots.","こいしを リフティングして ほのおの サッカーボールを つくりだし するどい シュートで こうげきする。","","","",""
"Inteleon","インテレオン","Intereon","Star","","Water","","1","013","108","5","","","","Snipe Shot","Water","","","","","115","79","62","115","62","110","It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.","たさいな きのうを かくしもつ。 ゆびから みずを ふんしゃして せなかの ひまくで かぜに のる。","","","",""
"Sirfetch'd","ネギガナイト","Negigaknight","Star","","Fighting","","1","014","104","5","","","","Meteor Assault","Fighting","","","","","108","123","88","64","77","62","After deflecting attacks with its hard leaf shield, it strikes opponents back with its sharp leek stalk. The leek stalk is both weapon and food.","かたいねぎの はで あいての こうげきを いなし するどい くきで はんげき。 ネギは ぶぐであり しょくざい。","","","",""
